actor_id,first_name,last_name,last_update
1,Penelope,Guiness,2006-02-15 04:34:33
2,Nick,Wahlberg,2006-02-15 04:34:33
3,Ed,Chase,2006-02-15 04:34:33
4,Jennifer,Davis,2006-02-15 04:34:33
5,Johnny,Lollobrigida,2006-02-15 04:34:33
6,Bette,Nicholson,2006-02-15 04:34:33
7,Grace,Mostel,2006-02-15 04:34:33
8,Matthew,Johansson,2006-02-15 04:34:33
9,Joe,Swank,2006-02-15 04:34:33
10,Christian,Gable,2006-02-15 04:34:33
11,Zero,Cage,2006-02-15 04:34:33
12,Karl,Berry,2006-02-15 04:34:33
13,Uma,Wood,2006-02-15 04:34:33
14,Vivien,Bergen,2006-02-15 04:34:33
15,Cuba,Olivier,2006-02-15 04:34:33
16,Fred,Costner,2006-02-15 04:34:33
17,Helen,Voight,2006-02-15 04:34:33
18,Dan,Torn,2006-02-15 04:34:33
19,Bob,Fawcett,2006-02-15 04:34:33
20,Lucille,Tracy,2006-02-15 04:34:33
21,Kirsten,Paltrow,2006-02-15 04:34:33
22,Elvis,Marx,2006-02-15 04:34:33
23,Sandra,Kilmer,2006-02-15 04:34:33
24,Cameron,Streep,2006-02-15 04:34:33
25,Kevin,Bloom,2006-02-15 04:34:33
26,Rip,Crawford,2006-02-15 04:34:33
27,Julia,Mcqueen,2006-02-15 04:34:33
28,Woody,Hoffman,2006-02-15 04:34:33
29,Alec,Wayne,2006-02-15 04:34:33
30,Sandra,Peck,2006-02-15 04:34:33
31,Sissy,Sobieski,2006-02-15 04:34:33
32,Tim,Hackman,2006-02-15 04:34:33
33,Milla,Peck,2006-02-15 04:34:33
34,Audrey,Olivier,2006-02-15 04:34:33
35,Judy,Dean,2006-02-15 04:34:33
36,Burt,Dukakis,2006-02-15 04:34:33
37,Val,Bolger,2006-02-15 04:34:33
38,Tom,Mckellen,2006-02-15 04:34:33
39,Goldie,Brody,2006-02-15 04:34:33
40,Johnny,Cage,2006-02-15 04:34:33
41,Jodie,Degeneres,2006-02-15 04:34:33
42,Tom,Miranda,2006-02-15 04:34:33
43,Kirk,Jovovich,2006-02-15 04:34:33
44,Nick,Stallone,2006-02-15 04:34:33
45,Reese,Kilmer,2006-02-15 04:34:33
46,Parker,Goldberg,2006-02-15 04:34:33
47,Julia,Barrymore,2006-02-15 04:34:33
48,Frances,Day-Lewis,2006-02-15 04:34:33
49,Anne,Cronyn,2006-02-15 04:34:33
50,Natalie,Hopkins,2006-02-15 04:34:33
51,Gary,Phoenix,2006-02-15 04:34:33
52,Carmen,Hunt,2006-02-15 04:34:33
53,Mena,Temple,2006-02-15 04:34:33
54,Penelope,Pinkett,2006-02-15 04:34:33
55,Fay,Kilmer,2006-02-15 04:34:33
56,Dan,Harris,2006-02-15 04:34:33
57,Jude,Cruise,2006-02-15 04:34:33
58,Christian,Akroyd,2006-02-15 04:34:33
59,Dustin,Tautou,2006-02-15 04:34:33
60,Henry,Berry,2006-02-15 04:34:33
61,Christian,Neeson,2006-02-15 04:34:33
62,Jayne,Neeson,2006-02-15 04:34:33
63,Cameron,Wray,2006-02-15 04:34:33
64,Ray,Johansson,2006-02-15 04:34:33
65,Angela,Hudson,2006-02-15 04:34:33
66,Mary,Tandy,2006-02-15 04:34:33
67,Jessica,Bailey,2006-02-15 04:34:33
68,Rip,Winslet,2006-02-15 04:34:33
69,Kenneth,Paltrow,2006-02-15 04:34:33
70,Michelle,Mcconaughey,2006-02-15 04:34:33
71,Adam,Grant,2006-02-15 04:34:33
72,Sean,Williams,2006-02-15 04:34:33
73,Gary,Penn,2006-02-15 04:34:33
74,Milla,Keitel,2006-02-15 04:34:33
75,Burt,Posey,2006-02-15 04:34:33
76,Angelina,Astaire,2006-02-15 04:34:33
77,Cary,Mcconaughey,2006-02-15 04:34:33
78,Groucho,Sinatra,2006-02-15 04:34:33
79,Mae,Hoffman,2006-02-15 04:34:33
80,Ralph,Cruz,2006-02-15 04:34:33
81,Scarlett,Damon,2006-02-15 04:34:33
82,Woody,Jolie,2006-02-15 04:34:33
83,Ben,Willis,2006-02-15 04:34:33
84,James,Pitt,2006-02-15 04:34:33
85,Minnie,Zellweger,2006-02-15 04:34:33
86,Greg,Chaplin,2006-02-15 04:34:33
87,Spencer,Peck,2006-02-15 04:34:33
88,Kenneth,Pesci,2006-02-15 04:34:33
89,Charlize,Dench,2006-02-15 04:34:33
90,Sean,Guiness,2006-02-15 04:34:33
91,Christopher,Berry,2006-02-15 04:34:33
92,Kirsten,Akroyd,2006-02-15 04:34:33
93,Ellen,Presley,2006-02-15 04:34:33
94,Kenneth,Torn,2006-02-15 04:34:33
95,Daryl,Wahlberg,2006-02-15 04:34:33
96,Gene,Willis,2006-02-15 04:34:33
97,Meg,Hawke,2006-02-15 04:34:33
98,Chris,Bridges,2006-02-15 04:34:33
99,Jim,Mostel,2006-02-15 04:34:33
100,Spencer,Depp,2006-02-15 04:34:33
101,Susan,Davis,2006-02-15 04:34:33
102,Walter,Torn,2006-02-15 04:34:33
103,Matthew,Leigh,2006-02-15 04:34:33
104,Penelope,Cronyn,2006-02-15 04:34:33
105,Sidney,Crowe,2006-02-15 04:34:33
106,Groucho,Dunst,2006-02-15 04:34:33
107,Gina,Degeneres,2006-02-15 04:34:33
108,Warren,Nolte,2006-02-15 04:34:33
109,Sylvester,Dern,2006-02-15 04:34:33
110,Susan,Davis,2006-02-15 04:34:33
111,Cameron,Zellweger,2006-02-15 04:34:33
112,Russell,Bacall,2006-02-15 04:34:33
113,Morgan,Hopkins,2006-02-15 04:34:33
114,Morgan,Mcdormand,2006-02-15 04:34:33
115,Harrison,Bale,2006-02-15 04:34:33
116,Dan,Streep,2006-02-15 04:34:33
117,Renee,Tracy,2006-02-15 04:34:33
118,Cuba,Allen,2006-02-15 04:34:33
119,Warren,Jackman,2006-02-15 04:34:33
120,Penelope,Monroe,2006-02-15 04:34:33
121,Liza,Bergman,2006-02-15 04:34:33
122,Salma,Nolte,2006-02-15 04:34:33
123,Julianne,Dench,2006-02-15 04:34:33
124,Scarlett,Bening,2006-02-15 04:34:33
125,Albert,Nolte,2006-02-15 04:34:33
126,Frances,Tomei,2006-02-15 04:34:33
127,Kevin,Garland,2006-02-15 04:34:33
128,Cate,Mcqueen,2006-02-15 04:34:33
129,Daryl,Crawford,2006-02-15 04:34:33
130,Greta,Keitel,2006-02-15 04:34:33
131,Jane,Jackman,2006-02-15 04:34:33
132,Adam,Hopper,2006-02-15 04:34:33
133,Richard,Penn,2006-02-15 04:34:33
134,Gene,Hopkins,2006-02-15 04:34:33
135,Rita,Reynolds,2006-02-15 04:34:33
136,Ed,Mansfield,2006-02-15 04:34:33
137,Morgan,Williams,2006-02-15 04:34:33
138,Lucille,Dee,2006-02-15 04:34:33
139,Ewan,Gooding,2006-02-15 04:34:33
140,Whoopi,Hurt,2006-02-15 04:34:33
141,Cate,Harris,2006-02-15 04:34:33
142,Jada,Ryder,2006-02-15 04:34:33
143,River,Dean,2006-02-15 04:34:33
144,Angela,Witherspoon,2006-02-15 04:34:33
145,Kim,Allen,2006-02-15 04:34:33
146,Albert,Johansson,2006-02-15 04:34:33
147,Fay,Winslet,2006-02-15 04:34:33
148,Emily,Dee,2006-02-15 04:34:33
149,Russell,Temple,2006-02-15 04:34:33
150,Jayne,Nolte,2006-02-15 04:34:33
151,Geoffrey,Heston,2006-02-15 04:34:33
152,Ben,Harris,2006-02-15 04:34:33
153,Minnie,Kilmer,2006-02-15 04:34:33
154,Meryl,Gibson,2006-02-15 04:34:33
155,Ian,Tandy,2006-02-15 04:34:33
156,Fay,Wood,2006-02-15 04:34:33
157,Greta,Malden,2006-02-15 04:34:33
158,Vivien,Basinger,2006-02-15 04:34:33
159,Laura,Brody,2006-02-15 04:34:33
160,Chris,Depp,2006-02-15 04:34:33
161,Harvey,Hope,2006-02-15 04:34:33
162,Oprah,Kilmer,2006-02-15 04:34:33
163,Christopher,West,2006-02-15 04:34:33
164,Humphrey,Willis,2006-02-15 04:34:33
165,Al,Garland,2006-02-15 04:34:33
166,Nick,Degeneres,2006-02-15 04:34:33
167,Laurence,Bullock,2006-02-15 04:34:33
168,Will,Wilson,2006-02-15 04:34:33
169,Kenneth,Hoffman,2006-02-15 04:34:33
170,Mena,Hopper,2006-02-15 04:34:33
171,Olympia,Pfeiffer,2006-02-15 04:34:33
172,Groucho,Williams,2006-02-15 04:34:33
173,Alan,Dreyfuss,2006-02-15 04:34:33
174,Michael,Bening,2006-02-15 04:34:33
175,William,Hackman,2006-02-15 04:34:33
176,Jon,Chase,2006-02-15 04:34:33
177,Gene,Mckellen,2006-02-15 04:34:33
178,Lisa,Monroe,2006-02-15 04:34:33
179,Ed,Guiness,2006-02-15 04:34:33
180,Jeff,Silverstone,2006-02-15 04:34:33
181,Matthew,Carrey,2006-02-15 04:34:33
182,Debbie,Akroyd,2006-02-15 04:34:33
183,Russell,Close,2006-02-15 04:34:33
184,Humphrey,Garland,2006-02-15 04:34:33
185,Michael,Bolger,2006-02-15 04:34:33
186,Julia,Zellweger,2006-02-15 04:34:33
187,Renee,Ball,2006-02-15 04:34:33
188,Rock,Dukakis,2006-02-15 04:34:33
189,Cuba,Birch,2006-02-15 04:34:33
190,Audrey,Bailey,2006-02-15 04:34:33
191,Gregory,Gooding,2006-02-15 04:34:33
192,John,Suvari,2006-02-15 04:34:33
193,Burt,Temple,2006-02-15 04:34:33
194,Meryl,Allen,2006-02-15 04:34:33
195,Jayne,Silverstone,2006-02-15 04:34:33
196,Bela,Walken,2006-02-15 04:34:33
197,Reese,West,2006-02-15 04:34:33
198,Mary,Keitel,2006-02-15 04:34:33
199,Julia,Fawcett,2006-02-15 04:34:33
200,Thora,Temple,2006-02-15 04:34:33
